Shoulder W,Shoulder X,Shoulder Y,Shoulder Z,Thorax W,Thorax X,Thorax Y,Thorax Z
0.61916,-0.041109,-0.78334,0.03646,-0.673045,0.091607,0.730423,0.071423
0.618783,-0.041176,-0.783637,0.036409,-0.673186,0.091648,0.730288,0.071427
0.618413,-0.041281,-0.783927,0.036327,-0.673245,0.091633,0.730235,0.071422
0.618138,-0.041468,-0.78414,0.036199,-0.673204,0.091593,0.730279,0.07141
0.617994,-0.041704,-0.784248,0.036051,-0.673064,0.09155,0.730413,0.071422
0.617965,-0.041949,-0.784263,0.035927,-0.672828,0.091471,0.730636,0.071463
0.618,-0.042205,-0.784223,0.035887,-0.672559,0.091345,0.730897,0.071485
0.618049,-0.042484,-0.784168,0.035925,-0.672381,0.091235,0.731078,0.071452
0.61809,-0.042762,-0.784119,0.035966,-0.672351,0.091193,0.731116,0.071396
0.618113,-0.043003,-0.784088,0.035975,-0.672358,0.091201,0.731112,0.071366
0.618095,-0.043188,-0.784091,0.035987,-0.672296,0.091211,0.731166,0.071377
0.618033,-0.043303,-0.784131,0.036029,-0.672188,0.091192,0.731265,0.071411
0.61796,-0.043329,-0.784186,0.036069,-0.672083,0.091144,0.731361,0.071465
0.617893,-0.043271,-0.784242,0.036071,-0.672011,0.091097,0.731424,0.071562
0.61783,-0.043169,-0.784298,0.036035,-0.672019,0.091093,0.731405,0.071691
0.617778,-0.043058,-0.784348,0.035979,-0.672114,0.091168,0.731299,0.071788
0.617732,-0.042959,-0.784392,0.03593,-0.672198,0.091291,0.731205,0.071801
0.617661,-0.042904,-0.784451,0.035923,-0.672186,0.091389,0.731207,0.071768
0.617528,-0.042902,-0.784554,0.035969,-0.672123,0.091455,0.731256,0.071768
0.61734,-0.042917,-0.784698,0.036028,-0.6721,0.091539,0.731261,0.071834
0.617126,-0.042932,-0.784865,0.036039,-0.672145,0.091645,0.731196,0.071933
0.616905,-0.042963,-0.785041,0.03597,-0.672214,0.091733,0.731112,0.07203
0.616741,-0.043004,-0.785174,0.035821,-0.672282,0.091804,0.731029,0.072143
0.616723,-0.043043,-0.785196,0.035602,-0.672371,0.091895,0.730924,0.072264
0.616881,-0.043121,-0.785079,0.03536,-0.672463,0.091987,0.730819,0.072352
0.617209,-0.043278,-0.784821,0.03516,-0.672535,0.092059,0.73074,0.072397
0.617653,-0.043509,-0.784464,0.035045,-0.672615,0.092137,0.730653,0.072425
0.618092,-0.043774,-0.784105,0.035006,-0.672722,0.092226,0.73054,0.072464
0.618422,-0.043996,-0.783833,0.034992,-0.672839,0.092321,0.730414,0.072529
0.618601,-0.044145,-0.783684,0.034964,-0.672961,0.092439,0.73028,0.0726
0.618633,-0.044243,-0.783656,0.034923,-0.673105,0.092579,0.730126,0.072627
0.618574,-0.044303,-0.783701,0.03487,-0.673277,0.092709,0.729954,0.072601
0.618523,-0.044326,-0.783743,0.034805,-0.673459,0.092796,0.72978,0.072543
0.618527,-0.044339,-0.783741,0.034753,-0.673629,0.092837,0.729627,0.072457
0.618569,-0.044366,-0.783708,0.034727,-0.673772,0.092865,0.729501,0.072357
0.618624,-0.044395,-0.783664,0.034703,-0.673904,0.092917,0.729383,0.072251
0.618668,-0.044423,-0.78363,0.034662,-0.674061,0.092997,0.729241,0.072117
0.618666,-0.044431,-0.783633,0.034609,-0.674246,0.093079,0.729077,0.071937
0.618593,-0.044391,-0.783695,0.034561,-0.674429,0.093128,0.728921,0.07174
0.618465,-0.044332,-0.783799,0.034559,-0.674578,0.093139,0.7288,0.071553
0.618314,-0.044308,-0.783916,0.034644,-0.674648,0.093112,0.728756,0.071374
0.618154,-0.044332,-0.784035,0.034777,-0.674583,0.093019,0.728845,0.071207
0.617991,-0.044382,-0.784155,0.034893,-0.674435,0.092891,0.729012,0.071068
0.617833,-0.044434,-0.784272,0.034997,-0.674354,0.092805,0.72911,0.070947
0.617684,-0.044474,-0.784383,0.035106,-0.67437,0.092756,0.729114,0.070813
0.617561,-0.044494,-0.784474,0.0352,-0.674439,0.092682,0.729075,0.070653
0.61748,-0.04451,-0.784535,0.035255,-0.67457,0.092574,0.728983,0.070487
0.617432,-0.044553,-0.784569,0.035264,-0.674774,0.092493,0.72882,0.070336
0.617388,-0.044637,-0.7846,0.035246,-0.674996,0.092468,0.728632,0.070182
0.617328,-0.044761,-0.784642,0.035218,-0.67517,0.092455,0.72849,0.069998
0.61725,-0.044897,-0.784697,0.035171,-0.675271,0.092406,0.728421,0.069807
0.617146,-0.04502,-0.784775,0.035103,-0.675318,0.092319,0.728404,0.06964
0.616996,-0.045127,-0.78489,0.035027,-0.67537,0.092242,0.72838,0.06949
0.616794,-0.045207,-0.785049,0.034914,-0.675448,0.092206,0.728327,0.069339
0.616564,-0.045232,-0.785237,0.034717,-0.675518,0.092173,0.72828,0.069192
0.616351,-0.045232,-0.785416,0.034467,-0.675561,0.092098,0.728263,0.069048
0.616236,-0.045324,-0.785508,0.034282,-0.675599,0.091971,0.728257,0.068911
0.616256,-0.045529,-0.785485,0.034197,-0.675647,0.091818,0.728242,0.068799
0.616285,-0.045632,-0.785463,0.034031,-0.675683,0.091677,0.728235,0.068706
0.616248,-0.045564,-0.78551,0.033705,-0.675686,0.091548,0.728259,0.068606
0.616222,-0.04554,-0.785544,0.033413,-0.675676,0.091401,0.728296,0.068505
0.616204,-0.045667,-0.785558,0.033245,-0.675683,0.091244,0.728316,0.068431
0.616115,-0.045867,-0.785622,0.033105,-0.67571,0.091097,0.72831,0.068429
0.615935,-0.046027,-0.785762,0.032919,-0.675705,0.090935,0.728326,0.068514
0.615706,-0.046092,-0.785947,0.032701,-0.675613,0.090733,0.728429,0.068605
0.615492,-0.046096,-0.786123,0.032484,-0.675469,0.090501,0.728588,0.068627
0.615334,-0.046088,-0.786256,0.032266,-0.675374,0.090255,0.728712,0.068573
0.615245,-0.046087,-0.786335,0.032049,-0.675337,0.089969,0.728794,0.068445
0.615219,-0.046086,-0.786363,0.031864,-0.675296,0.089657,0.728885,0.068296
0.615232,-0.046081,-0.786358,0.031743,-0.675271,0.089396,0.72895,0.068184
0.615238,-0.046085,-0.786356,0.031681,-0.675298,0.089219,0.728955,0.068098
0.615207,-0.046111,-0.78638,0.031637,-0.675326,0.089114,0.728949,0.068021
0.615153,-0.046155,-0.786422,0.031579,-0.675293,0.089062,0.728992,0.067955
0.615077,-0.046212,-0.786481,0.031491,-0.675234,0.089007,0.729059,0.067899
0.614979,-0.046275,-0.78656,0.031354,-0.675217,0.08887,0.729096,0.067855
0.614912,-0.046318,-0.786616,0.031193,-0.675212,0.088653,0.729129,0.067827
0.614921,-0.046334,-0.786612,0.031086,-0.675172,0.088429,0.729195,0.067805
0.614979,-0.046355,-0.786566,0.031082,-0.675113,0.088232,0.729279,0.067752
0.615028,-0.046389,-0.786522,0.031166,-0.675066,0.088023,0.729357,0.06765
0.61503,-0.046397,-0.786515,0.031288,-0.67504,0.087801,0.729418,0.067532
0.614986,-0.046356,-0.786547,0.031402,-0.675025,0.087622,0.729463,0.067442
0.61492,-0.046278,-0.7866,0.031494,-0.675005,0.087504,0.7295,0.067385
0.614838,-0.046169,-0.786667,0.031574,-0.674993,0.087415,0.729526,0.06734
0.614758,-0.046027,-0.786735,0.031651,-0.674995,0.087334,0.729537,0.067307
0.61472,-0.045883,-0.78677,0.031738,-0.675004,0.08726,0.729538,0.067305
0.614744,-0.045776,-0.786752,0.031856,-0.675021,0.08719,0.729529,0.067327
0.614826,-0.045717,-0.786685,0.032013,-0.675035,0.08711,0.729523,0.067344
0.614959,-0.045693,-0.786575,0.032194,-0.675036,0.087019,0.729533,0.067351
0.615125,-0.045674,-0.78644,0.032365,-0.675039,0.086934,0.729539,0.067362
0.615286,-0.045625,-0.786312,0.032478,-0.675072,0.086896,0.729509,0.067404
0.615407,-0.045531,-0.786221,0.03252,-0.67513,0.08692,0.729445,0.067484
0.615483,-0.045419,-0.786167,0.032531,-0.675185,0.086976,0.729378,0.067585
0.615523,-0.045318,-0.786141,0.032565,-0.675226,0.087042,0.729323,0.067685
0.615539,-0.045217,-0.786132,0.032622,-0.675274,0.08712,0.729262,0.067771
0.615546,-0.045095,-0.786131,0.032666,-0.675333,0.087196,0.729189,0.067863
0.615547,-0.044953,-0.786138,0.032683,-0.67538,0.087252,0.729126,0.067998
0.615531,-0.044808,-0.786159,0.032672,-0.675404,0.087293,0.729083,0.068173
0.615513,-0.044669,-0.786183,0.032633,-0.675422,0.087331,0.729047,0.068329
0.615532,-0.044553,-0.786177,0.032589,-0.675455,0.087385,0.728998,0.068455
0.615623,-0.044461,-0.786112,0.03255,-0.675514,0.087472,0.728918,0.068611
0.615779,-0.044374,-0.785997,0.032511,-0.675604,0.087565,0.728806,0.068802
0.615935,-0.044287,-0.785879,0.032519,-0.67571,0.087634,0.728683,0.068974
0.616013,-0.044205,-0.785818,0.032629,-0.675803,0.087676,0.728581,0.069091
0.615957,-0.044128,-0.785858,0.032815,-0.675862,0.08768,0.728519,0.06915
0.615761,-0.044078,-0.786006,0.033021,-0.675881,0.087668,0.7285,0.069185
0.615459,-0.044096,-0.786232,0.033238,-0.675902,0.087684,0.728475,0.069228
0.615094,-0.044163,-0.786502,0.033521,-0.675972,0.087718,0.7284,0.069288
0.61466,-0.044176,-0.786823,0.03393,-0.676054,0.087737,0.728313,0.069378
0.614099,-0.044039,-0.787245,0.034478,-0.676087,0.08774,0.728271,0.069498
0.613347,-0.043742,-0.787819,0.035106,-0.67608,0.087737,0.728266,0.06962
0.612349,-0.043388,-0.788587,0.035733,-0.67607,0.087735,0.728266,0.069722
0.611052,-0.043148,-0.789579,0.036308,-0.676065,0.087769,0.728257,0.069816
0.609504,-0.043147,-0.79075,0.036847,-0.676054,0.087835,0.72825,0.069911
0.607878,-0.04337,-0.791961,0.037418,-0.676028,0.08787,0.728263,0.069987
0.606311,-0.04371,-0.79311,0.038106,-0.675987,0.087854,0.728297,0.070045
0.604835,-0.044091,-0.794174,0.038964,-0.675923,0.087818,0.728356,0.070097
0.603515,-0.044515,-0.795106,0.039928,-0.675837,0.087802,0.728434,0.070131
0.602464,-0.044921,-0.795834,0.040842,-0.675726,0.087806,0.728538,0.07012
0.60164,-0.045231,-0.796399,0.04163,-0.675539,0.087765,0.72872,0.07009
0.600779,-0.045517,-0.796992,0.042389,-0.675238,0.087624,0.729017,0.070074
0.599606,-0.045889,-0.797807,0.043252,-0.67489,0.087416,0.729365,0.07007
0.598147,-0.046315,-0.798821,0.04426,-0.674562,0.087184,0.729695,0.070074
0.596678,-0.046655,-0.799842,0.045291,-0.674238,0.086945,0.730023,0.070066
0.59526,-0.046862,-0.800833,0.046218,-0.673916,0.086711,0.730356,0.069993
0.593672,-0.047087,-0.801946,0.047115,-0.673628,0.086512,0.730658,0.069862
0.591787,-0.047448,-0.803253,0.048175,-0.673399,0.086402,0.730893,0.069741
0.589679,-0.047769,-0.804707,0.049427,-0.67323,0.086419,0.731052,0.069692
0.587425,-0.047713,-0.806286,0.050579,-0.673011,0.086467,0.731246,0.069701
