Sample #,Shoulder W,Shoulder X,Shoulder Y,Shoulder Z,Thorax W,Thorax X,Thorax Y,Thorax Z
1649,-0.513835,0.009338,0.854872,-0.071274,-0.694729,0.076128,0.711698,0.071013
1650,-0.513878,0.009314,0.854864,-0.071069,-0.694745,0.076205,0.711669,0.071058
1651,-0.513934,0.009178,0.854855,-0.07079,-0.694761,0.076279,0.711639,0.071123
1652,-0.514023,0.008942,0.854832,-0.07045,-0.694719,0.076255,0.711679,0.071155
1653,-0.514158,0.00868,0.854783,-0.070084,-0.694534,0.076065,0.711879,0.071163
1654,-0.514323,0.008462,0.854716,-0.069719,-0.694211,0.075768,0.712222,0.071203
1655,-0.514504,0.008299,0.854637,-0.06937,-0.693922,0.07553,0.712522,0.071281
1656,-0.514722,0.008188,0.854533,-0.069045,-0.693794,0.075434,0.712649,0.071348
1657,-0.515021,0.00812,0.85438,-0.068719,-0.693788,0.075425,0.712653,0.07138
1658,-0.5154,0.008079,0.85418,-0.068369,-0.693816,0.075436,0.712623,0.071396
1659,-0.515846,0.008033,0.85394,-0.068008,-0.69384,0.075416,0.712599,0.071424
1660,-0.516414,0.007909,0.853627,-0.06764,-0.693845,0.075315,0.712601,0.071465
1661,-0.517165,0.007655,0.853204,-0.067264,-0.693828,0.075146,0.71263,0.071508
1662,-0.518068,0.007309,0.85269,-0.066881,-0.693808,0.075003,0.712661,0.071546
1663,-0.519052,0.006964,0.852124,-0.066499,-0.693796,0.074942,0.712677,0.071572
1664,-0.520105,0.006689,0.851511,-0.066147,-0.693794,0.074939,0.712677,0.071595
1665,-0.521244,0.006442,0.850841,-0.06582,-0.693811,0.074953,0.712657,0.07161
1666,-0.522427,0.006109,0.850144,-0.06548,-0.693849,0.074946,0.712622,0.0716
1667,-0.523588,0.005662,0.849459,-0.065145,-0.693891,0.074909,0.712589,0.071562
1668,-0.524712,0.00518,0.848789,-0.064863,-0.693936,0.074861,0.712555,0.071509
1669,-0.525841,0.004734,0.848108,-0.064661,-0.693967,0.074806,0.712534,0.071474
1670,-0.527043,0.004289,0.847375,-0.064526,-0.693943,0.074732,0.712566,0.071466
1671,-0.52823,0.003655,0.846655,-0.064299,-0.693856,0.074631,0.712664,0.071446
1672,-0.529267,0.002779,0.846044,-0.063866,-0.693735,0.074492,0.712802,0.071385
1673,-0.530251,0.001948,0.845461,-0.063447,-0.693622,0.074349,0.712932,0.071342
1674,0.531317,-0.001339,-0.844806,0.063265,-0.693547,0.074246,0.713011,0.071385
1675,0.532466,-0.000845,-0.84408,0.063311,-0.693507,0.074158,0.713053,0.071446
1676,0.533691,-0.000314,-0.843294,0.063475,-0.693475,0.074032,0.713098,0.07143
1677,0.535061,0.000334,-0.842414,0.063628,-0.693434,0.073894,0.713158,0.071373
1678,0.536599,0.001069,-0.84143,0.063685,-0.693359,0.073825,0.713243,0.07133
1679,0.538161,0.001753,-0.840431,0.063678,-0.693232,0.073829,0.71337,0.071286
1680,0.539589,0.002232,-0.839509,0.063743,-0.693085,0.073842,0.713517,0.071235
1681,0.540963,0.002445,-0.838606,0.06398,-0.692951,0.073832,0.713651,0.07121
1682,0.542494,0.002411,-0.837585,0.064391,-0.692797,0.073829,0.713797,0.071244
1683,0.544203,0.002163,-0.836432,0.064963,-0.692591,0.073839,0.713985,0.071346
1684,0.54597,0.001746,-0.835227,0.065639,-0.692399,0.07382,0.714162,0.071464
1685,0.547746,0.001207,-0.83401,0.066328,-0.692303,0.073764,0.714252,0.071545
1686,0.549605,0.00058,-0.832731,0.067029,-0.692298,0.073733,0.714258,0.071573
1687,0.551631,-0.000135,-0.831324,0.067856,-0.692317,0.073765,0.714238,0.071549
1688,0.553832,-0.000947,-0.829774,0.068877,-0.692317,0.073814,0.714237,0.07152
1689,0.55618,-0.001822,-0.828105,0.070017,-0.692306,0.07384,0.714242,0.071541
1690,0.558567,-0.002739,-0.826393,0.071201,-0.692296,0.073839,0.714247,0.071593
1691,0.560904,-0.003776,-0.824696,0.072444,-0.692279,0.073818,0.714261,0.071643
1692,0.563364,-0.005057,-0.822891,0.0738,-0.69226,0.073803,0.714275,0.071704
1693,0.566187,-0.006574,-0.820804,0.075295,-0.692245,0.073816,0.714281,0.07177
1694,0.569406,-0.008169,-0.818414,0.076864,-0.692221,0.07384,0.714298,0.071808
1695,0.572907,-0.009748,-0.815805,0.078394,-0.692226,0.07375,0.714305,0.071784
1696,0.576532,-0.011291,-0.81309,0.079803,-0.692366,0.073279,0.714228,0.07168
1697,0.58019,-0.012792,-0.810334,0.081083,-0.692669,0.072349,0.714035,0.071613
1698,0.583917,-0.014313,-0.807501,0.082329,-0.692946,0.071565,0.713835,0.071718
1699,0.5878,-0.015917,-0.804518,0.083597,-0.692956,0.071789,0.713781,0.071943
1700,0.591828,-0.017593,-0.801397,0.08481,-0.692746,0.072918,0.713846,0.072173
1701,0.595843,-0.019261,-0.798257,0.085945,-0.69259,0.073922,0.713877,0.072346
1702,0.599689,-0.020713,-0.795215,0.087045,-0.692584,0.0743,0.713828,0.072499
1703,0.603318,-0.021809,-0.792324,0.088055,-0.692636,0.074373,0.713749,0.07271
1704,0.606741,-0.022759,-0.789578,0.088964,-0.692692,0.074457,0.713658,0.072979
1705,0.61008,-0.02389,-0.786858,0.089928,-0.69276,0.074596,0.713551,0.073238
1706,0.613525,-0.025262,-0.784007,0.091001,-0.69284,0.074755,0.713435,0.073452
1707,0.617158,-0.02667,-0.780976,0.0921,-0.692934,0.074929,0.713308,0.073616
1708,0.620913,-0.027905,-0.777819,0.093194,-0.693068,0.075108,0.713149,0.073713
1709,0.624652,-0.028977,-0.77465,0.094273,-0.693244,0.075281,0.712954,0.073769
1710,0.628274,-0.030064,-0.771544,0.095336,-0.69342,0.075449,0.712754,0.073876
1711,0.631788,-0.031246,-0.768484,0.096432,-0.693553,0.075617,0.712587,0.074061
1712,0.635199,-0.032434,-0.76547,0.097596,-0.693641,0.075787,0.712465,0.074237
1713,0.638472,-0.03349,-0.762549,0.098753,-0.693707,0.075963,0.712374,0.07432
1714,0.641656,-0.034334,-0.759698,0.099791,-0.693767,0.076146,0.712296,0.074318
1715,0.644822,-0.035007,-0.756856,0.100734,-0.693823,0.076309,0.712226,0.074304
1716,0.647927,-0.035681,-0.754031,0.101753,-0.693863,0.076424,0.712172,0.074325
1717,0.650989,-0.036588,-0.751173,0.103018,-0.69387,0.076504,0.712153,0.074362
1718,0.654163,-0.037762,-0.748148,0.104495,-0.693837,0.076584,0.712174,0.074384
1719,0.657548,-0.038928,-0.744919,0.105881,-0.693784,0.076674,0.712216,0.074391
1720,0.661075,-0.039896,-0.741576,0.107019,-0.693773,0.076786,0.712213,0.0744
1721,0.664596,-0.040837,-0.738211,0.108115,-0.693923,0.076995,0.712044,0.0744
1722,0.66798,-0.04196,-0.734898,0.109396,-0.694275,0.077331,0.711665,0.074396
1723,0.671066,-0.043185,-0.731781,0.110914,-0.694616,0.077667,0.711296,0.0744
1724,0.673765,-0.044273,-0.728986,0.112517,-0.694731,0.077869,0.711163,0.074381
1725,0.676221,-0.045009,-0.726444,0.11392,-0.694686,0.077946,0.711205,0.074318
1726,0.678549,-0.045474,-0.724034,0.115232,-0.69464,0.077955,0.711258,0.074225
1727,0.680565,-0.046144,-0.721812,0.117002,-0.69464,0.077928,0.711272,0.074125
1728,0.682417,-0.046978,-0.719657,0.119141,-0.694662,0.077892,0.711262,0.07405
1729,0.684551,-0.047465,-0.71727,0.121078,-0.694687,0.077857,0.711247,0.074002
1730,0.686936,-0.047772,-0.714678,0.122772,-0.694719,0.077805,0.711229,0.073934
1731,0.689288,-0.048313,-0.712088,0.124414,-0.694776,0.077747,0.711193,0.073794
1732,0.691691,-0.049046,-0.709435,0.125938,-0.694856,0.077715,0.711141,0.073578
1733,0.694415,-0.049789,-0.706472,0.1273,-0.69495,0.077698,0.711078,0.07332
1734,0.697467,-0.050498,-0.703158,0.12868,-0.695063,0.077685,0.710994,0.073082
1735,0.700599,-0.051194,-0.699694,0.130261,-0.695185,0.077668,0.710894,0.072914
1736,0.703551,-0.051835,-0.696339,0.132068,-0.695298,0.077622,0.7108,0.072793
1737,0.706298,-0.052314,-0.693163,0.133908,-0.695407,0.077547,0.710717,0.072645
1738,0.709041,-0.052617,-0.690016,0.135535,-0.695516,0.077468,0.71064,0.07243
1739,0.71181,-0.052961,-0.686825,0.137085,-0.695611,0.07744,0.710579,0.072157
