Shoulder W,Shoulder X,Shoulder Y,Shoulder Z,Clavicle W,Clavicle X,Clavicle Y,Clavicle Z,Thorax W,Thorax X,Thorax Y,Thorax Z,Elbow W,Elbow X,Elbow Y,Elbow Z
0.599915683,0.63297689,-0.353454977,-0.338394791,0.165870368,0.909601629,-0.103071883,-0.36672616,0.491904616,-0.158581316,0.854113519,-0.058067787,0.666775942,0.52075237,-0.504387915,-0.172683984
0.110410117,0.779805422,-0.586436033,-0.189224318,0.54678309,0.82577014,-0.135245577,-0.028995359,0.579831302,-0.406979173,0.556675851,-0.433907419,-0.183133245,-0.436992824,0.872376621,0.120243333
0.099836193,0.782234728,-0.590679944,-0.170993149,0.537440777,0.833205462,-0.126297176,-0.031225989,0.58641988,-0.400662512,0.558898389,-0.428034902,-0.165262431,-0.439561754,0.876116157,0.109060779
0.099833727,0.782234967,-0.590680599,-0.170991793,0.537440002,0.833205879,-0.126298249,-0.031225743,0.586420596,-0.400661647,0.558898449,-0.428034693,-0.1652596,-0.439561635,0.876116812,0.109060667
0.101824798,0.780863523,-0.592068017,-0.171287298,0.544652879,0.827147901,-0.135835409,-0.026988449,0.584269285,-0.403906286,0.55328387,-0.435162246,-0.167096674,-0.438354224,0.876434803,0.108564831
0.099440128,0.781237483,-0.592697561,-0.168787643,0.538644493,0.831541479,-0.133738115,-0.022691859,0.587689698,-0.399888456,0.556025624,-0.430750042,-0.166048303,-0.420087367,0.886086345,0.103949793
0.099479146,0.781198144,-0.592755079,-0.168744892,0.538656175,0.831524789,-0.133782893,-0.022766585,0.587610483,-0.399842739,0.556092978,-0.430813491,-0.166055262,-0.420093983,0.886087,0.103906631
0.099479608,0.781197965,-0.592755079,-0.1687451,0.538656354,0.831524611,-0.133782864,-0.022766735,0.587610245,-0.399842769,0.556093097,-0.43081373,-0.166055754,-0.420094013,0.886086881,0.103906631
0.118076839,0.776676893,-0.588264108,-0.191771403,0.540718198,0.83032757,-0.131046399,-0.031729244,0.584051728,-0.40024969,0.557439625,-0.433526099,-0.192518085,-0.423095852,0.877651095,0.116855413
0.125691831,0.774484694,-0.587301791,-0.198624313,0.538001835,0.83262074,-0.127927363,-0.030520037,0.58492583,-0.399201691,0.55964303,-0.430464238,-0.202234194,-0.422942311,0.875139892,0.119797327
0.125696018,0.774478972,-0.587305009,-0.198634505,0.538002551,0.832619607,-0.127929896,-0.030524537,0.584923148,-0.399201602,0.559645236,-0.430465162,-0.202242583,-0.422935307,0.875140309,0.119804367
0.13737455,0.770931482,-0.584500313,-0.212490559,0.534989238,0.833703518,-0.131496772,-0.037861452,0.585872293,-0.396851808,0.561466932,-0.428972244,-0.219894603,-0.414458841,0.874185264,0.125181362
0.137129143,0.770991981,-0.584594846,-0.212169439,0.534870207,0.833765864,-0.131608218,-0.037783869,0.585954428,-0.3967399,0.561496556,-0.428924769,-0.219533175,-0.41443786,0.874311745,0.125001818
0.137126744,0.770990849,-0.584601641,-0.212156162,0.534869909,0.833765328,-0.131612405,-0.037785616,0.585951567,-0.396738142,0.561500013,-0.428925902,-0.219525114,-0.414432466,0.874317884,0.124990821
0.137122869,0.770991147,-0.584606588,-0.212144241,0.534869313,0.833765209,-0.13161613,-0.037785225,0.58595103,-0.396736383,0.561500967,-0.428926975,-0.219516307,-0.414429307,0.874322891,0.124981731
0.528017282,0.588931799,-0.346178263,-0.504497409,0.148811892,0.879487455,-0.104467571,-0.439821988,0.470312148,-0.132102236,0.870832562,-0.054828741,0.671460032,0.430028588,-0.530806541,-0.287160873
0.523850381,0.602511823,-0.357311815,-0.484653115,0.152384162,0.886073709,-0.112724811,-0.423019588,0.47839433,-0.133485541,0.866007686,-0.057889141,0.654475987,0.450779498,-0.536181033,-0.284550548
0.520705104,0.607103705,-0.361979455,-0.478813201,0.149893701,0.888402879,-0.119852543,-0.417022258,0.485861629,-0.1286394,0.862419844,-0.06018582,0.648140311,0.456335843,-0.539779365,-0.283390254
0.132813603,0.763819754,-0.597278893,-0.205421135,0.529258013,0.840142488,-0.115110286,-0.028216595,0.589711607,-0.39214927,0.563060999,-0.425936133,-0.211932167,-0.407002389,0.880063474,0.122155897
0.52092123,0.606878221,-0.362015009,-0.478837281,0.150177404,0.888308167,-0.119886845,-0.417111993,0.485671967,-0.128837183,0.862485886,-0.060347006,0.648364544,0.456088066,-0.539758921,-0.283315092
0.521080852,0.606746435,-0.362197638,-0.478692353,0.150378853,0.888304889,-0.119975001,-0.417021066,0.485591024,-0.128971159,0.862502813,-0.060470186,0.64850843,0.455827713,-0.539953291,-0.283034444
0.520311832,0.609825015,-0.367738545,-0.47133553,0.151946291,0.891686141,-0.126365572,-0.40723446,0.489831388,-0.128561065,0.859951437,-0.063409619,0.642856956,0.461864859,-0.54203248,-0.282164067
0.520311832,0.609825015,-0.367738545,-0.47133553,0.151946291,0.891686141,-0.126365572,-0.40723446,0.489831388,-0.128561065,0.859951437,-0.063409619,0.642856956,0.461864859,-0.54203248,-0.282164067
0.166097119,0.754243076,-0.586851299,-0.243176252,0.533240259,0.835548043,-0.123446248,-0.047699284,0.574845195,-0.398721069,0.576692641,-0.42190063,-0.26179406,-0.384176552,0.875034511,0.134858549
0.166853547,0.753794611,-0.586537361,-0.24480094,0.5334149,0.835455656,-0.123094991,-0.048270412,0.574470162,-0.398962379,0.576935589,-0.421851099,-0.263238549,-0.383892179,0.874562263,0.135915741
0.521341503,0.607981741,-0.363400131,-0.47592178,0.146929279,0.893977344,-0.142607987,-0.398596615,0.491122633,-0.119240269,0.860858619,-0.059185129,0.647320032,0.457630992,-0.540624917,-0.281558663
0.520786285,0.610860109,-0.366354287,-0.470548719,0.145599201,0.896235228,-0.144507617,-0.393294781,0.49721694,-0.117859639,0.857439816,-0.060674388,0.64328295,0.462851137,-0.541418791,-0.280751646
0.161954105,0.75404042,-0.584663033,-0.251720101,0.528754175,0.838286698,-0.125773787,-0.043302529,0.576137841,-0.397165716,0.580637991,-0.416153908,-0.262439072,-0.383683354,0.873610258,0.1439372
0.161011532,0.753371716,-0.587691188,-0.247235551,0.529063284,0.838883817,-0.121027216,-0.041455541,0.57422024,-0.398042977,0.582506776,-0.415353805,-0.258763939,-0.386034608,0.874029219,0.141744062
0.159727484,0.752816856,-0.588617921,-0.247553751,0.529693246,0.837921679,-0.125140637,-0.04064741,0.573858798,-0.396631628,0.581990182,-0.417919934,-0.257354379,-0.387725919,0.873425901,0.143403128
0.159599394,0.752819717,-0.58882308,-0.247139424,0.529730797,0.837874413,-0.125320405,-0.040575147,0.573860526,-0.396606117,0.58194524,-0.418004066,-0.257044405,-0.387645155,0.873602509,0.143101484
0.522367716,0.614079356,-0.367481589,-0.463676363,0.145249128,0.897050738,-0.148459777,-0.390079975,0.500049591,-0.115965262,0.855880976,-0.063010119,0.641088963,0.468518674,-0.540949702,-0.277252108
0.522367537,0.614085853,-0.367485642,-0.463664591,0.145247117,0.89705503,-0.148459375,-0.390070885,0.500054538,-0.115965545,0.855878115,-0.063008524,0.64108634,0.468521148,-0.54095757,-0.27723819
0.169936702,0.750365496,-0.587132692,-0.251691073,0.527776361,0.840186894,-0.118492335,-0.03870061,0.574429274,-0.395284235,0.583092988,-0.416874021,-0.267765373,-0.389580756,0.869482577,0.143277943
0.520780504,0.619215429,-0.371663779,-0.455220819,0.145455196,0.899639666,-0.152649224,-0.382347465,0.504512012,-0.115292601,0.853185177,-0.065194517,0.634910405,0.476153016,-0.542991638,-0.274457842
0.517671466,0.623841643,-0.374458343,-0.450131804,0.137268081,0.903406024,-0.16305919,-0.372057468,0.507669508,-0.104654714,0.852452695,-0.068143994,0.628771365,0.482958704,-0.544195294,-0.274315476
0.517636895,0.62391758,-0.374498159,-0.450033426,0.137265936,0.903465986,-0.163024321,-0.371927768,0.507737339,-0.104696549,0.852409422,-0.068114683,0.628698051,0.48304075,-0.54423672,-0.274256885
0.517636001,0.623922825,-0.374507606,-0.450019509,0.137264311,0.903471589,-0.163026407,-0.37191397,0.507745564,-0.104696766,0.852404594,-0.068114214,0.628694892,0.483039081,-0.544250548,-0.27423954
0.517646492,0.623936355,-0.374548972,-0.449954063,0.137285054,0.903494179,-0.163031965,-0.37184903,0.507783413,-0.104721598,0.852377772,-0.068128929,0.628689587,0.483031094,-0.544301808,-0.274164081
0.163520157,0.754016399,-0.586182415,-0.24720566,0.531348467,0.837910831,-0.117402025,-0.042320143,0.575515151,-0.399419487,0.57841897,-0.417944938,-0.260197073,-0.392027915,0.870898783,0.141939864
0.517651618,0.623934865,-0.374559194,-0.449941695,0.1372931,0.903497517,-0.163034558,-0.371836811,0.507791817,-0.104728818,0.852371573,-0.068134546,0.628692567,0.483022988,-0.544314265,-0.274146646
0.517651618,0.623934865,-0.374559194,-0.449941695,0.1372931,0.903497517,-0.163034558,-0.371836811,0.507791817,-0.104728818,0.852371573,-0.068134546,0.628692567,0.483022988,-0.544314265,-0.274146646
0.172049463,0.756829321,-0.573610604,-0.261876225,0.543311536,0.828309417,-0.133209616,-0.03116712,0.570887983,-0.405448705,0.571276367,-0.428184122,-0.278128117,-0.379706442,0.870426834,0.144308448
0.517648578,0.623940766,-0.374570817,-0.44992736,0.137299404,0.903506517,-0.163032845,-0.371813267,0.507828712,-0.104738899,0.85234791,-0.06813781,0.628686428,0.483023137,-0.544328988,-0.274131417
0.158342779,0.756973267,-0.581113338,-0.253429115,0.536860466,0.832552075,-0.133191779,-0.029960368,0.576667905,-0.397986561,0.570768237,-0.428117365,-0.261750638,-0.377934486,0.876280069,0.144171208
0.154400319,0.757952929,-0.582154632,-0.250527233,0.531744182,0.835348904,-0.136388198,-0.028956937,0.578379929,-0.391199142,0.573503613,-0.428407997,-0.256108791,-0.38305369,0.875594974,0.144953817
0.139197037,0.757228374,-0.591271877,-0.240056098,0.522544563,0.840345621,-0.142616212,-0.020664709,0.587206721,-0.378535569,0.571519852,-0.430423379,-0.23737289,-0.380281001,0.882260561,0.143724978
0.132491261,0.760785103,-0.592173874,-0.230178684,0.514026463,0.845500648,-0.144225389,-0.010219685,0.59703517,-0.370611042,0.568454921,-0.427849829,-0.224619731,-0.396371305,0.878836513,0.141711473
0.534285903,0.617297709,-0.370114595,-0.44328028,0.137273267,0.901650548,-0.165620491,-0.375169575,0.511410475,-0.102686025,0.850294948,-0.070097193,0.641150773,0.480895281,-0.535519361,-0.266241372
0.54327184,0.617446959,-0.376460731,-0.426488221,0.160102814,0.891999781,-0.161070764,-0.390844762,0.493844867,-0.120624721,0.857487977,-0.079254493,0.638173938,0.49301663,-0.529053926,-0.264141113
0.548036933,0.611424327,-0.377765089,-0.427912712,0.15851745,0.893964708,-0.149720252,-0.391514063,0.495783836,-0.124870919,0.8561849,-0.074518912,0.639568985,0.493866354,-0.52215153,-0.272773266
0.548316777,0.61086297,-0.377660751,-0.428447634,0.15903762,0.893704653,-0.149729028,-0.391893178,0.495619357,-0.125209332,0.856201172,-0.074857384,0.639923871,0.493451864,-0.52181083,-0.27334246
0.547837794,0.611608326,-0.378140748,-0.427572817,0.158901319,0.894325972,-0.149504274,-0.390614748,0.497007132,-0.125427097,0.855375826,-0.074727573,0.639254808,0.494013727,-0.522499442,-0.27257672
0.082234338,0.773611009,-0.603063941,-0.176287815,0.510257602,0.842854381,-0.16929099,0.023965281,0.617973447,-0.349930137,0.541683793,-0.449707121,-0.154902652,-0.403505921,0.894059896,0.117665023
0.109797344,0.772940993,-0.590250731,-0.205209091,0.513087332,0.839762211,-0.175519079,0.027093163,0.618593931,-0.347036362,0.536084175,-0.457734793,-0.194085151,-0.399871975,0.886530399,0.128441349
0.523107708,0.627430081,-0.349842846,-0.458584577,0.179614753,0.887572169,-0.125066996,-0.405354679,0.520024717,-0.15037246,0.835868299,-0.091030098,0.645857334,0.475339085,-0.538619876,-0.2584759
0.130791754,0.774994731,-0.577384531,-0.221142039,0.513985813,0.83734858,-0.18575792,0.012652696,0.619185328,-0.349887103,0.533359826,-0.457947463,-0.221297055,-0.399983793,0.879774272,0.130529299
0.478990108,0.656070292,-0.3564955,-0.461574703,0.238656953,0.919283092,-0.087921597,-0.300385177,0.557360232,-0.220127404,0.788765073,-0.136905029,0.622031868,0.462724417,-0.586006284,-0.235709727
0.463694155,0.661153138,-0.352229834,-0.473073274,0.266922534,0.908737481,-0.101761259,-0.304291457,0.564287186,-0.237915456,0.775148213,-0.155311391,0.626519799,0.433223665,-0.611151934,-0.215136155
0.350717783,0.722861111,-0.424021423,-0.417941004,0.269796789,0.914035141,-0.117431596,-0.279211819,0.585154057,-0.230490431,0.755668223,-0.182851255,0.513992012,0.408905059,-0.731518269,-0.183002442
0.353711843,0.693838179,-0.42311728,-0.463085502,0.308867663,0.915411234,-0.114116505,-0.231517777,0.599050045,-0.270612419,0.728607774,-0.192454204,0.539600551,0.383740425,-0.71636796,-0.219980866
0.311768562,0.710595429,-0.444633752,-0.447387338,0.309118271,0.910654306,-0.160278916,-0.222407907,0.621660888,-0.253524154,0.70939821,-0.214516878,0.501212955,0.367915273,-0.753182292,-0.214803368
0.297571033,0.689565063,-0.486031651,-0.446905732,0.238349289,0.93533349,-0.145656198,-0.21708332,0.61739254,-0.194549814,0.739532411,-0.184577197,-0.490556687,-0.322344452,0.779628575,0.218237177
0.254983366,0.701678872,-0.513422728,-0.423116148,0.141200766,0.964885533,-0.144066215,-0.168235391,0.648967862,-0.115109481,0.738571227,-0.141784996,-0.458029151,-0.252513885,0.831981301,0.185075909
0.147877663,0.780973017,-0.551994681,-0.252022088,0.499577373,0.848435998,-0.17481117,0.004460815,0.625204444,-0.347566068,0.544007719,-0.438603371,-0.260803193,-0.35757643,0.886992753,0.131774992
0.100931376,0.730578959,-0.568785667,-0.36407426,0.126682416,0.981822491,-0.116093501,-0.080612205,0.686972737,-0.111451566,0.704416692,-0.139442205,-0.2815139,-0.307885438,0.873194873,0.251966596
0.140201062,0.785877705,-0.552103102,-0.24067004,0.49517265,0.851464987,-0.172530487,0.006684999,0.625228822,-0.344286919,0.548916399,-0.435024351,-0.248779088,-0.357554853,0.891389966,0.125249267
0.17015931,0.686898887,-0.625932693,-0.327755868,0.121242784,0.971085668,-0.17343162,-0.110518456,0.695262253,-0.107682005,0.700417697,-0.120125003,-0.312888891,-0.274502188,0.887845993,0.196159676
0.152754337,0.78104943,-0.547181427,-0.25926885,0.493308812,0.853057265,-0.170109555,0.001554551,0.626449943,-0.344578505,0.54959923,-0.432165265,-0.269234657,-0.357578605,0.884072006,0.134413213
-0.149331748,-0.621213853,0.730579376,0.240929797,0.185628578,0.952494502,-0.185350254,-0.15473032,0.684338987,-0.159609199,0.69778353,-0.138935626,-0.186427519,-0.49450925,0.821652889,0.213522643
0.139695764,0.791072369,-0.540862501,-0.249313667,0.497608781,0.853153646,-0.156349748,0.008307067,0.625361085,-0.349729508,0.54795444,-0.431692958,-0.256330758,-0.345659077,0.893782735,0.126359627
-0.180950969,-0.535042346,0.78616935,0.250846893,0.234535277,0.89191258,-0.320757449,-0.215870023,0.640254676,-0.142709628,0.729030013,-0.195507735,-0.200800523,-0.469163388,0.827174902,0.235258505
